head,tail,relation
动植物油脂及其乳糜制品；精制动物脂肪；动植物蜡,中国,进口
动植物油脂及其乳糜制品；精制动物脂肪；动植物蜡,俄罗斯,出口
动植物油脂及其乳糜制品；精制动物脂肪；动植物蜡,中国,进口
动植物油脂及其乳糜制品；精制动物脂肪；动植物蜡,印度,出口
动植物油脂及其乳糜制品；精制动物脂肪；动植物蜡,中国,进口
动植物油脂及其乳糜制品；精制动物脂肪；动植物蜡,巴西,出口
动植物油脂及其乳糜制品；精制动物脂肪；动植物蜡,中国,进口
动植物油脂及其乳糜制品；精制动物脂肪；动植物蜡,澳大利亚,出口
动植物油脂及其乳糜制品；精制动物脂肪；动植物蜡,中国,进口
动植物油脂及其乳糜制品；精制动物脂肪；动植物蜡,美国,出口
动植物油脂及其乳糜制品；精制动物脂肪；动植物蜡,中国,进口
动植物油脂及其乳糜制品；精制动物脂肪；动植物蜡,法国,出口
动植物油脂及其乳糜制品；精制动物脂肪；动植物蜡,中国,进口
动植物油脂及其乳糜制品；精制动物脂肪；动植物蜡,德国,出口
动植物油脂及其乳糜制品；精制动物脂肪；动植物蜡,中国,进口
动植物油脂及其乳糜制品；精制动物脂肪；动植物蜡,意大利,出口
动植物油脂及其乳糜制品；精制动物脂肪；动植物蜡,中国,进口
动植物油脂及其乳糜制品；精制动物脂肪；动植物蜡,韩国,出口
动植物油脂及其乳糜制品；精制动物脂肪；动植物蜡,中国,进口
动植物油脂及其乳糜制品；精制动物脂肪；动植物蜡,英国,出口
动植物油脂及其乳糜制品；精制动物脂肪；动植物蜡,中国,出口
动植物油脂及其乳糜制品；精制动物脂肪；动植物蜡,荷兰,进口
动植物油脂及其乳糜制品；精制动物脂肪；动植物蜡,中国,出口
动植物油脂及其乳糜制品；精制动物脂肪；动植物蜡,美国,进口
动植物油脂及其乳糜制品；精制动物脂肪；动植物蜡,中国,出口
动植物油脂及其乳糜制品；精制动物脂肪；动植物蜡,英国,进口
动植物油脂及其乳糜制品；精制动物脂肪；动植物蜡,中国,出口
动植物油脂及其乳糜制品；精制动物脂肪；动植物蜡,韩国,进口
动植物油脂及其乳糜制品；精制动物脂肪；动植物蜡,中国,出口
动植物油脂及其乳糜制品；精制动物脂肪；动植物蜡,德国,进口
动植物油脂及其乳糜制品；精制动物脂肪；动植物蜡,中国,出口
动植物油脂及其乳糜制品；精制动物脂肪；动植物蜡,日本,进口
动植物油脂及其乳糜制品；精制动物脂肪；动植物蜡,中国,出口
动植物油脂及其乳糜制品；精制动物脂肪；动植物蜡,澳大利亚,进口
动植物油脂及其乳糜制品；精制动物脂肪；动植物蜡,中国,出口
动植物油脂及其乳糜制品；精制动物脂肪；动植物蜡,印度,进口
谷物,中国,进口
谷物,美国,出口
谷物,中国,进口
谷物,法国,出口
谷物,中国,进口
谷物,澳大利亚,出口
谷物,中国,出口
谷物,韩国,进口
谷物,中国,出口
谷物,日本,进口
谷物,中国,进口
谷物,俄罗斯,出口
谷物,中国,出口
谷物,美国,进口
活的动物,中国,进口
活的动物,澳大利亚,出口
活的动物,中国,进口
活的动物,法国,出口
活的动物,中国,进口
活的动物,美国,出口
咖啡、茶、伴侣和香料,中国,进口
咖啡、茶、伴侣和香料,印度,出口
咖啡、茶、伴侣和香料,中国,出口
咖啡、茶、伴侣和香料,美国,进口
咖啡、茶、伴侣和香料,中国,出口
咖啡、茶、伴侣和香料,日本,进口
咖啡、茶、伴侣和香料,中国,出口
咖啡、茶、伴侣和香料,荷兰,进口
咖啡、茶、伴侣和香料,中国,出口
咖啡、茶、伴侣和香料,德国,进口
咖啡、茶、伴侣和香料,中国,出口
咖啡、茶、伴侣和香料,俄罗斯,进口
咖啡、茶、伴侣和香料,中国,出口
咖啡、茶、伴侣和香料,英国,进口
咖啡、茶、伴侣和香料,中国,出口
咖啡、茶、伴侣和香料,韩国,进口
咖啡、茶、伴侣和香料,中国,进口
咖啡、茶、伴侣和香料,意大利,出口
咖啡、茶、伴侣和香料,中国,进口
咖啡、茶、伴侣和香料,巴西,出口
咖啡、茶、伴侣和香料,中国,出口
咖啡、茶、伴侣和香料,法国,进口
咖啡、茶、伴侣和香料,中国,进口
咖啡、茶、伴侣和香料,日本,出口
咖啡、茶、伴侣和香料,中国,进口
咖啡、茶、伴侣和香料,美国,出口
咖啡、茶、伴侣和香料,中国,出口
咖啡、茶、伴侣和香料,意大利,进口
咖啡、茶、伴侣和香料,中国,出口
咖啡、茶、伴侣和香料,印度,进口
咖啡、茶、伴侣和香料,中国,出口
咖啡、茶、伴侣和香料,澳大利亚,进口
矿石、矿渣和灰烬,中国,进口
矿石、矿渣和灰烬,澳大利亚,出口
矿石、矿渣和灰烬,中国,进口
矿石、矿渣和灰烬,巴西,出口
矿石、矿渣和灰烬,中国,进口
矿石、矿渣和灰烬,印度,出口
矿石、矿渣和灰烬,中国,进口
矿石、矿渣和灰烬,俄罗斯,出口
矿石、矿渣和灰烬,中国,出口
矿石、矿渣和灰烬,日本,进口
矿石、矿渣和灰烬,中国,进口
矿石、矿渣和灰烬,美国,出口
矿石、矿渣和灰烬,中国,出口
矿石、矿渣和灰烬,韩国,进口
矿石、矿渣和灰烬,中国,进口
矿石、矿渣和灰烬,韩国,出口
矿石、矿渣和灰烬,中国,进口
矿石、矿渣和灰烬,荷兰,出口
矿石、矿渣和灰烬,中国,出口
矿石、矿渣和灰烬,印度,进口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,中国,进口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,俄罗斯,出口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,中国,进口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,澳大利亚,出口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,中国,进口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,巴西,出口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,中国,进口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,美国,出口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,中国,进口
矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,韩国,出口
